Date,Close/Last,Volume,Open,High,Low
07/31/2024,$222.08,50036260,$221.44,$223.82,$220.63
07/30/2024,$218.80,41643840,$219.19,$220.325,$216.12
07/29/2024,$218.24,36311780,$216.96,$219.30,$215.75
07/26/2024,$217.96,41601350,$218.70,$219.49,$216.01
07/25/2024,$217.49,51391200,$218.93,$220.85,$214.62
07/24/2024,$218.54,61777580,$224.00,$224.80,$217.13
07/23/2024,$225.01,39960260,$224.365,$226.94,$222.68
07/22/2024,$223.96,48201840,$227.01,$227.78,$223.09
07/19/2024,$224.31,49151450,$224.82,$226.80,$223.275
07/18/2024,$224.18,66034590,$230.28,$230.44,$222.27
07/17/2024,$228.88,57345880,$229.45,$231.4599,$226.64
07/16/2024,$234.82,43234280,$235.00,$236.27,$232.33
07/15/2024,$234.40,62631250,$236.48,$237.23,$233.09
07/12/2024,$230.54,53046530,$228.92,$232.64,$228.68
07/11/2024,$227.57,64710620,$231.39,$232.39,$225.77
07/10/2024,$232.98,62627690,$229.30,$233.08,$229.25
07/09/2024,$228.68,48169820,$227.93,$229.40,$226.3721
07/08/2024,$227.82,59085860,$227.09,$227.85,$223.25
07/05/2024,$226.34,60412410,$221.65,$226.45,$221.65
07/03/2024,$221.55,37369800,$220.00,$221.55,$219.03
07/02/2024,$220.27,58046180,$216.15,$220.38,$215.10
07/01/2024,$216.75,60402930,$212.09,$217.51,$211.92
